atc,name,dc_id,dm_id,ids_annotations,dc_annotations,id,cuis_dc,cuis_ids,cuis_overlap,cuis_overlap_c,terms_dc,cuis_ids_context,cuis_ids_indications,cuis_overlap_ind,cuis_ids_indications_nic,ids_umls,dc_umls,overlap_umls,overlap_umls_context,ids_context
C01AA05,digoxin                                                                                                                                                                                                                                                   ,882,9b9a4b3c-5f08-475a-a74d-0c7ebba40644                                                                                                                                                                                                                      ,"C0018801|C0003015,indication,DM,confirmed|UMLS_CUI:C0004238,DOID:0060224,indication,confirmed,SYM|DB00390,label","Atrial fibrillation,C0004238,DOID:0060224|Poisoning by digitalis glycoside,C0274726,|Chronic heart failure,C0264716,|",1693,3,3,1,0,3,1,2,1,2,"C0018801,C0003015,C0004238","C0004238,C0274726,C0264716",C0004238,,C0018801
C05AA06,fluorometholone                                                                                                                                                                                                                                           ,1208,545776fe-63df-44ab-ace3-f3d73d2e0092                                                                                                                                                                                                                      ,"C0021368,indication,DM,confirmed|label,DB00324","Uveitis,C0042164,DOID:13141|Herpes zoster keratitis,C1275687,|Cyclitis,C0010543,|Iridocyclitis,C0022073,DOID:1407|Punctate Epithelial Keratopathy,,|Corneal ulcer,C0010043,DOID:8463|Corneal abrasion,C0010032,|Rosacea,C0035854,DOID:8881|Allergic conjunctivitis,C0009766,DOID:11204|Uveitis,C0042164,DOID:13141|Post-Op Ocular Inflammation,,|Iritis,C0022081,DOID:1406|",1715,9,1,0,0,12,0,1,0,1,C0021368,"C0042164,C1275687,C0010543,C0022073,C0010043,C0010032,C0035854,C0009766,C0022081",,,
C01CE02,milrinone                                                                                                                                                                                                                                                 ,1809,e049b79d-d174-440e-88fa-a602ce666900                                                                                                                                                                                                                      ,"C0085612,indication,confirmed,SYM|C1609524,indication,confirmed,DM|label,DB00235","Decompensated cardiac failure,C0581377,|",1660,1,2,0,0,1,0,2,0,2,"C0085612,C1609524",C0581377,,,
C10AA03,pravastatin                                                                                                                                                                                                                                               ,2239,9736d9b1-9dca-36a3-5324-3bbeda537aca                                                                                                                                                                                                                      ,"C0342879,confirmed,indication,DM,UMLS_CUI: C0342879|UMLS_CUI:C0010068,UMLS_CUI:C0010054,UMLS_CUI:C0151744,UMLS_CUI:C0264694,DOID:3393,indication,rejected|DOID_13810,UMLS_CUI:C0020445,confirmed,indication,DM|confirmed,indication,UMLS_CUI:C0020479,DM|UMLS_CUI: C0020480,confirmed,indication,DM|DOID:3146,UMLS_CUI:C0023772,confirmed,indication,DM|DOID:5844,UMLS_CUI:C0027051,confirmed,indication,DM|DB00175,confirmed,label|DOID_13810,confirmed,UMLS_CUI:C0020445,indication|DOID_3146,confirmed,UMLS_CUI:C0023772,indication|UMLS_CUI:C0020479,confirmed,indication|DOID_5844,confirmed,UMLS_CUI:C0027051,indication|label,DB00175|DOID_3393,rejected,UMLS_CUI:C0010068","Cerebrovascular accident,C0038454,DOID:6713|Familial type 3 hyperlipoproteinemia,C0020479,DOID:3145|Myocardial Infarction Prevention,,|Slow Progression of Coronary Artery Disease,,|Primary Prevention of Coronary Heart Disease,,|Familial hypercholesterolemia - heterozygous,C0342882,|Hypercholesterolemia,C0020443,|Prevention of Transient Ischemic Attacks,,|Hypertriglyceridemia,C0020557,|Mixed hyperlipidemia,C0020474,|Arteriosclerotic vascular disease,C0003850,DOID:2349|",1751,7,11,1,0,11,1,11,1,10,"C0342879, C0342879,C0010068,C0010054,C0151744,C0264694,C0020445,C0020479, C0020480,C0023772,C0027051","C0038454,C0020479,C0342882,C0020443,C0020557,C0020474,C0003850",C0020479,,C0010068
C01BD05,ibutilide                                                                                                                                                                                                                                                 ,1412,2c833457-0409-4fb8-9363-d465bc5ee2fe                                                                                                                                                                                                                      ,"C0694539,indication,rejected,DM|C0004239,confirmed,indication,DM|DOID:0060224,UMLS_CUI:C0004238,indication,DM,confirmed|DB00308,label","Cardioversion of Atrial Flutter,,|Cardioversion of Atrial Fibrillation,,|",1698,0,3,0,0,2,0,3,0,3,"C0694539,C0004239,C0004238",,,,
C01BA03,disopyramide                                                                                                                                                                                                                                              ,926,aee41c2f-dfe7-4f7b-85bc-04dda0915c27                                                                                                                                                                                                                      ,"C0750197,indication,DM,confirmed|C0085612,indication,DM,confirmed|DB00280,label","Ventricular arrhythmia,C0085612,|",1696,1,2,1,0,1,0,2,1,2,"C0750197,C0085612",C0085612,C0085612,,
C07AB09,esmolol                                                                                                                                                                                                                                                   ,1054,35460df2-18d3-4132-85e6-5289bad4c670                                                                                                                                                                                                                      ,"DB00187,label|UMLS_CUI:C0039240,indication,confirmed,DM|confirmed,indication,DM,UMLS_CUI:C0039239|DOID:0060224,UMLS_CUI:C0004238,confirmed,indication,DM|DOID_10763,confirmed,indication,SYM,UMLS_CUI:C0020538|indication,confirmed,UMLS_CUI:C0039239|indication,UMLS_CUI:C0039240,confirmed|indication,DOID_10763,UMLS_CUI:C0020538|indication,DOID_0060224,UMLS_CUI:C0004238,confirmed|label,DB00187","Atrial fibrillation,C0004238,DOID:0060224|Supraventricular tachycardia,C0039240,|Perioperative Tachycardia,,|Perioperative hypertension,C3661921,|",1726,3,4,2,0,4,0,4,2,4,"C0039240,C0039239,C0004238,C0020538","C0004238,C0039240,C3661921","C0004238,C0039240",,
C08CA06,nimodipine                                                                                                                                                                                                                                                ,1937,d6a161d9-7e7a-4711-ba0e-c9040c42268d                                                                                                                                                                                                                      ,"DB00393,label|UMLS_CUI:C0795688,indication,confirmed,DM","Subarachnoid intracranial hemorrhage,C0038525,|",1733,1,1,0,0,1,0,1,0,1,C0795688,C0038525,,,
C05AA10,fluocinolone acetonide                                                                                                                                                                                                                                    ,1204,de5b78ab-ff79-3e0f-cad4-ecab11ebbdcd                                                                                                                                                                                                                      ,"DB00591,label","Otitis Externa Eczema,,|Primary cutaneous T-cell lymphoma,C0079773,|Eruption of skin,C0015230,DOID:0050486|Pruritus ani,C0033775,|Discoid lupus erythematosus,C0024138,|Contact dermatitis,C0011616,DOID:2773|Lichen simplex chronicus,C0149922,|Granuloma annulare,C0085074,DOID:3777|Chloasma,C0025218,|Atopic dermatitis,C0011615,DOID:3310|Plaque psoriasis,C0406317,|Scalp psoriasis,C0406326,|Choroiditis,C0008526,DOID:11406|Seborrheic dermatitis,C0036508,DOID:8741,DOID:6498|Pruritus of genital organs,C0033777,|Pityriasis simplex,C0423775,|",1716,15,0,0,0,16,0,0,0,0,,"C0079773,C0015230,C0033775,C0024138,C0011616,C0149922,C0085074,C0025218,C0011615,C0406317,C0406326,C0008526,C0036508,C0033777,C0423775",,,
C04AB02,tolazoline                                                                                                                                                                                                                                                ,2695,7d44e15d-4ac7-49ca-900f-13916aeea247                                                                                                                                                                                                                      ,"DB00797,lable","Cerebrovascular disease,C0007820,DOID:6713|Persistent pulmonary hypertension of the newborn,C0031190,DOID:13042|Disorder of blood vessel,C0042373,DOID:178|",1712,3,0,0,0,3,0,0,0,0,,"C0007820,C0031190,C0042373",,,
